Time (UTC) , i value , j value , latitude , longitude ," u (west to east wind, m/s) "," v (south to north wind, m/s) ", temperature (C) , relative humidity (%) , vertical velocity (cm/s) , pressure (mb) , water vapor  (g/kg) , turbulent kinetic energy (m^2/s^2) , precipitation rate (mm/hr), sensible heat flux (W/m^2) , Latent heat flux (W/m^2) , tracer concentration,leakage,classify_pred,regression_pred
17.1,49,46,33.259,-81.643,3.6524,0.75701,14.40999,37.6862,2.66991,991.52625,3.94875,0.67759,0,219.56337,1.08657,0.0,0,0,0.0
17.1,78,65,33.278,-81.614,3.82961,-0.13253,14.63389,36.85159,-1.20478,992.42316,3.91493,0.92276,0,334.40451,1.46646,0.0,0,0,0.0
17.1,17,54,33.267,-81.675,3.13654,0.55834,14.92862,36.99694,1.43012,995.00531,3.99651,0.96538,0,326.9632,1.05618,0.0,0,0,0.0
17.1,17,59,33.272,-81.675,3.14969,0.45324,14.88116,37.09927,-1.26426,994.46875,3.99731,0.95764,0,324.41479,1.03133,0.0,0,0,0.0
17.1,79,16,33.229,-81.613,3.63173,-0.07276,14.89587,36.38989,8.3347,993.0874,3.93023,1.01233,0,324.10162,0.46533,0.0,0,0,0.0
17.1,16,46,33.259,-81.676,3.37024,0.64644,14.68757,37.49692,-2.4023,993.16962,3.9945,0.90318,0,199.94688,1.95453,0.0,0,0,0.0
17.1,29,14,33.227,-81.663,3.24934,0.38394,14.48481,38.28817,4.06098,992.51862,4.02752,0.7991,0,330.60501,0.95302,0.0,0,0,0.0
17.1,39,41,33.254,-81.653,3.62508,0.91764,14.44564,37.76831,7.15346,992.06958,3.96444,0.66943,0,206.32448,1.38424,0.0,0,0,0.0
17.1,75,68,33.281,-81.617,3.88073,0.02203,14.49261,37.27903,-6.85024,992.12622,3.92496,0.8425,0,328.62225,1.53087,0.0,0,0,0.0
17.1,74,22,33.235,-81.618,3.80298,0.28047,14.78273,36.67173,-3.15295,993.73315,3.9288,1.02145,0,329.32504,0.49607,0.0,0,0,0.0
17.1,46,59,33.272,-81.646,3.45582,0.37383,14.7789,36.99388,3.94245,994.85266,3.95777,0.70963,0,209.96272,1.09328,0.0,0,0,0.0
17.1,4,45,33.258,-81.688,3.16653,0.69159,14.86658,37.34351,0.478,995.17346,4.0169,0.91528,0,320.63556,1.00942,0.0,0,0,0.0
17.1,51,15,33.228,-81.641,3.28419,0.40731,14.7379,37.23825,3.03038,993.14435,3.98017,0.89637,0,324.25961,0.5232,0.0,0,0,0.0
17.1,48,34,33.247,-81.644,3.79229,0.77022,14.29043,38.02023,-7.95137,991.5448,3.95247,0.72006,0,213.84891,1.11053,0.0,0,0,0.0
17.1,52,61,33.274,-81.64,3.62773,0.32413,14.54737,37.38682,5.67047,992.68048,3.94825,0.7191,0,214.4641,1.13465,0.0,0,0,0.0
17.1,74,55,33.268,-81.618,3.53543,0.1932,14.78037,36.50305,14.24118,991.8905,3.9175,0.95395,0,327.64999,0.67867,0.0,0,0,0.0
17.1,8,40,33.253,-81.684,3.41576,0.76232,14.68279,37.66142,8.78947,993.48822,4.00945,0.84558,0,332.50656,0.99179,0.0,0,0,0.0
17.1,57,65,33.278,-81.635,3.70651,0.07625,14.31562,37.83718,1.1145,991.52948,3.94002,0.66849,0,209.86253,1.23811,0.0,0,0,0.0
